130401021,F,School of Educational Science,I247.58/449.1
130401021,F,School of Educational Science,I267.1/654
130901003,F,School of Resources and Environmental Science,H315.9/277
130901003,F,School of Resources and Environmental Science,I247.59/118.1
130901006,F,School of Resources and Environmental Science,I247.7/273=2
130901006,F,School of Resources and Environmental Science,I712.45/1011.1-8*
130904035,F,School of Resources and Environmental Science,K928.9/319
121001041,F,School of Chemical Engineering and Material,O64/61
121001041,F,School of Chemical Engineering and Material,I246/57
121001006,F,School of Chemical Engineering and Material,I247.57/3814
121001006,F,School of Chemical Engineering and Material,I217.62/87=2-2
121001006,F,School of Chemical Engineering and Material,I551.43/16-3
110806027,F,TS School of Business and Information Technology,F272.91/257
110806027,F,TS School of Business and Information Technology,F713.36/591
120403028,F,School of Educational Science,I247.7/1134#1
120403028,F,School of Educational Science,I247.57/989#2
111202019,F,School of Politics and Social Development,F299.275.53/1
111202019,F,School of Politics and Social Development,F293/18
111202019,F,School of Politics and Social Development,F299.21/60
111202019,F,School of Politics and Social Development,F062.1-53/2
111202019,F,School of Politics and Social Development,F323.22/2
110202053,F,School of Foreign Languages,H319.9/2047
110403034,F,School of Educational Science,J21/112
131203027,F,School of Politics and Social Development,I247.57/4020
131203027,F,School of Politics and Social Development,I247.57/4197
131203027,F,School of Politics and Social Development,I247.57/3197-4
131203027,F,School of Politics and Social Development,I247.57/3922
110201055,F,School of Foreign Languages,H313.3/90*
110201055,F,School of Foreign Languages,H136.3/153
110201074,F,School of Foreign Languages,H313/84
120401005,F,School of Educational Science,I287.59/4
120401005,F,School of Educational Science,I287.45/107#1
120401030,F,School of Educational Science,I267/209
120401030,F,School of Educational Science,I247.57/3797
120401030,F,School of Educational Science,I247.5/1633
120105034,F,School of Literature and Communication,I247.7/1886
120105034,F,School of Literature and Communication,I561.45/329
120901019,F,School of Resources and Environmental Science,P23/7
131001045,F,School of Chemical Engineering and Material,I247.57/3952
131001045,F,School of Chemical Engineering and Material,I247.8/735
130110050,F,School of Literature and Communication,K820.9/192
130905001,F,School of Resources and Environmental Science,H319.4:I16/80
130905002,F,School of Resources and Environmental Science,H319.4:I/139
111003026,F,School of Chemical Engineering and Material,H313.1/553
111003026,F,School of Chemical Engineering and Material,K220.9/28
120110015,F,School of Literature and Communication,I14/298.1#1
120110015,F,School of Literature and Communication,I14/381
120110015,F,School of Literature and Communication,I14/298.3#1
120110012,F,School of Literature and Communication,I565.44/228
120110012,F,School of Literature and Communication,I565.44/244#1
130802010,F,TS School of Business and Information Technology,I267.1/742
130906004,F,School of Resources and Environmental Science,J21/114
120605047,F,School of Applied Technology,I247.57/4320
130105019,F,School of Literature and Communication,I712.45/1267
130105019,F,School of Literature and Communication,I712.45/1295.3-2
130105019,F,School of Literature and Communication,I246.82/1.1
131003023,F,School of Chemical Engineering and Material,I712.65/126
130901021,M,School of Resources and Environmental Science,TP391.41/571#1
130901021,M,School of Resources and Environmental Science,TP391.41/560
130901021,M,School of Resources and Environmental Science,TP391.41/228
110808029,M,TS School of Business and Information Technology,TS941-091/2#1
110808029,M,TS School of Business and Information Technology,TU-861/24
110808052,F,TS School of Business and Information Technology,I247.57/2529
110808052,F,TS School of Business and Information Technology,I247.57/2540
130804023,F,TS School of Business and Information Technology,B842.6/214
130202077,F,School of Foreign Languages,H319.4:I14/34
130202081,F,School of Foreign Languages,H313.1/429
130202076,F,School of Foreign Languages,H319.4/735
131401029,M,School of Fine Arts and Design,J212.26/103-3
111204011,F,School of Politics and Social Development,H319.4:I561.45/31
120402030,F,School of Educational Science,I565.44/350
120402030,F,School of Educational Science,I565.44/390.1
120402030,F,School of Educational Science,I565.44/390.2
120402030,F,School of Educational Science,I562.45/13-2
121203039,M,School of Politics and Social Development,K25/77=4-23
121203039,M,School of Politics and Social Development,K25/134
121203003,F,School of Politics and Social Development,K25/77=4-23
121203003,F,School of Politics and Social Development,K25/134
110405006,F,School of Educational Science,B844.1/111
120105050,F,School of Literature and Communication,K220.6/11.1-3
120105050,F,School of Literature and Communication,TP391.41/831
120105050,F,School of Literature and Communication,TP391.412/9
120105050,F,School of Literature and Communication,R22/13
120803037,M,TS School of Business and Information Technology,C912.1/530
120611070,M,School of Sailing,C53/36.1*
121206044,F,School of Politics and Social Development,TP311.13/302
110503040,F,School of Music and Dance,J528-53/3
131401029,M,School of Fine Arts and Design,J212.26/65-2
131401029,M,School of Fine Arts and Design,J212.26/88
131401029,M,School of Fine Arts and Design,J212.27/370
131401029,M,School of Fine Arts and Design,J212.26/37
121401040,F,School of Fine Arts and Design,K928.71/41
121401040,F,School of Fine Arts and Design,K892.457.3/4
110503040,F,School of Music and Dance,J218.7/109
110503040,F,School of Music and Dance,J522.2/3
120202110,F,School of Foreign Languages,H313.3/125
120202110,F,School of Foreign Languages,H315.9/263
120307035,M,School of Physics and Information Engineering,O13-44/588.1
131401023,F,School of Fine Arts and Design,J222.49/20.1
131401023,F,School of Fine Arts and Design,J222.48/14*
131401023,F,School of Fine Arts and Design,J221/6.41
131401019,F,School of Fine Arts and Design,J212.26/102
131401019,F,School of Fine Arts and Design,J212.26/126
131401019,F,School of Fine Arts and Design,J222.48/14*
120202097,F,School of Foreign Languages,I313.65/37
130901021,M,School of Resources and Environmental Science,TP391.41/420
120403079,F,School of Educational Science,K928.9/63
110804007,M,TS School of Business and Information Technology,J997.12/15
131007048,F,School of Chemical Engineering and Material,I516.44/28
110102089,F,School of Literature and Communication,I0-05/42
111204012,F,School of Politics and Social Development,G647.38/77（2013）
120804057,M,TS School of Business and Information Technology,B848.4/20
110802022,M,TS School of Business and Information Technology,S680.5/4
121001022,F,School of Chemical Engineering and Material,O64/122=4-5
120401041,F,School of Educational Science,B844.2/284
110201074,F,School of Foreign Languages,H313/328
130901006,F,School of Resources and Environmental Science,I712.45/1011.2-8*
130105034,F,School of Literature and Communication,G222.2/65
130201064,F,School of Foreign Languages,I561.44/164.2=2
120905001,F,School of Resources and Environmental Science,I247.57/4299
121206038,F,School of Politics and Social Development,F832.2/13=2
121206038,F,School of Politics and Social Development,F832.2/13=3
120105051,F,School of Literature and Communication,I247.57/3562
110201055,F,School of Foreign Languages,H136.3/30
130202080,F,School of Foreign Languages,H311.9/17
121001006,F,School of Chemical Engineering and Material,I512.44/188-7*#1
130202161,F,School of Foreign Languages,I242.4/350.1
130110048,F,School of Literature and Communication,I247.57/4270
120805015,M,TS School of Business and Information Technology,C912.1/77
131401033,F,School of Fine Arts and Design,J212.27/350
130906004,F,School of Resources and Environmental Science,J292.112.4/1-2
130604035,M,School of Applied Technology,I25/540
120203031,F,School of Foreign Languages,H319.4:B971/1.1
130804079,M,TS School of Business and Information Technology,C913.2/202-2
130808015,F,TS School of Business and Information Technology,I565.44/549-8
130201054,F,School of Foreign Languages,I247.54/189
110201055,F,School of Foreign Languages,I561.25/3
